Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
T 38486,T  38486 ,1,No Title Entered,No Author Entered,0,0,-,GEN,Unknown,Standard Access,Printed Books,,Unknown,0
T38485,T  38485 ,1,No Title Entered,No Author Entered,0,0,-,GEN,Unknown,Standard Access,Printed Books,,Unknown,0
T38432,T  38432 ,1,No Title Entered,No Author Entered,0,0,-,GEN,Unknown,Standard Access,Printed Books,09W12035P,,0
T38261,T  38261 ,1,No Title Entered,No Author Entered,0,0,-,GEN,Unknown,Standard Access,Printed Books,,Partial,0
05319.i.75.,   5319!I     75 ,1,The Parsi Marriage and Divorce Act-India Act III of 1936. W,India.,1939,0,-,GEN,Probably in Copyright,Standard Access,Printed Books,,Full,0
05319.i.75.,   5319!I     75 ,1,The Parsi Marriage and Divorce Act-India Act III of 1936. W,India.,1939,0,-,GEN,Probably in Copyright,Standard Access,Printed Books,,Partial,0
T 36824,T  36824 ,1,No Title Entered,No Author Entered,0,0,-,GEN,Unknown,Standard Access,Printed Books,09W09840P,Unknown,0
T36679(h),T  36679 (H),1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,GEN,Unknown,Standard Access,Printed Books,,Partial,0
T 36620,T  36620 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,GEN,Unknown,Standard Access,Printed Books,,Partial,0
05319.k.68.,   5319!K     68 ,1,"The United Provinces Revenue Law Digest, 1931-1942, with...",,1942,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,Full,0
T 36474,T  36474 ,1,No Title Entered,No Author Entered,0,0,,GEN,Unknown,Standard Access,Printed Books,,Full,0
T 36454,T  36454 ,1,No Title Entered,No Author Entered,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
ORW.2001.b.63,ORW   2001 B     63 ,1,A Ga_ndha_ri_ version of the Rhinoceros Su_tra :,"Salomon, Richard,",2000,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.2001.b.22,ORW   2001 B     22 ,1,Targum Neofiti 1 : an exegetical commentary to Genesis : inc,Bernard  Grossfeld 00021223066,2000,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.2001.a.128,ORW   2001 A    128 ,1,Nerse_s de Lambron (1153-1192) : explication de la Divine Li,"Nerses, of Lambron, Saint, 1153-1198. 00021220414",2000,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW 1993.a.1882,ORW   1993 A   1882 ,1,No Title Entered,No Author Entered,0,0,,GEN,Unknown,Standard Access,Printed Books,,Partial,0
ORW.1993.a.2621,ORW   1993 A   2621 ,1,"Easter rebellion in India, the Chittagong uprising / written","I.  Sharma, (Ingua Mallikarjuna), 1950 00021217385",1993,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1993.a.2551,ORW   1993 A   2551 ,1,Literary responses to catastrophe : a comparison of the Arme,Rubina  Peroomian 00021218921,1993,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1993.a.2450,ORW   1993 A   2450 ,1,The Sikh and Sikhism.,"Surindar Singh  Kohli, 1920- 00021237558",1993,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1993.a.2375,ORW   1993 A   2375 ,1,The murder of history : a critique of history textbooks used,"Khursheed Kamal  Aziz, 1927- 00021232255",1993,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1993.a.2306,ORW   1993 A   2306 ,1,Turkey human rights report / the Human Rights Foundation of,Tu_rkiye I_nsan Haklar_ Vakf_. 00021215404,1991,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1993.a.2030,ORW   1993 A   2030 ,1,The foreign names of the Indian subcontinent / B.N. Mukherje,"B. N.  Mukherjee, (Bratindra Nath), 19 00021229475",1989,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1993.a.1951,ORW   1993 A   1951 ,1,Tagore and education for social change / Mohit Chakrabarti.,"Mohit  Chakrabarti, 1941- 00021222684",1993,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1993.a.1463,ORW   1993 A   1463 ,1,"Simla, the summer capital of British India / Raja Bhasin ; f","Raja  Bhasin, 1961- 00021234780",1992,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1992.a.2441,ORW   1992 A   2441 ,1,The elephant in early Indian art : from Indus Valley Civiliz,Kamal Shankar  Srivastava 00021223198,1989,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1993.a.1302,ORW   1993 A   1302 ,1,"Jewish personal names : their origin, derivation, and diminu",Shmuel  Gorr 00021229773,1992,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1993.a.1020,ORW   1993 A   1020 ,1,Shlomo Simonsohn jubilee volume : studies on the history of,Shlomo  Simonsohn 1923- 00021233601,1993,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1993.a.976,ORW   1993 A    976 ,1,Perso-Arabic sources of information on the life and conditio,Iqtidar Husain  Siddiqi 00021231406,1992,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1993.a.864,ORW   1993 A    864 ,1,The Indian narrative : perspectives and patterns / edited by,C  Shackle (Christopher) 00021219744,1992,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1993.a.746,ORW   1993 A    746 ,1,"India in the great depression, 1929-1939 / Dietmar Rothermun","Dietmar  Rothermund, 1933- 00021234468",1992,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1993.a.428,ORW   1993 A    428 ,1,Williamson Magor stuck to tea.,"Peter  Pugh, 1943- 00021231262",1991,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
ORW.1993.a.87,ORW   1993 A     87 ,1,"Women, work and values : contradictions in the prevailing no",Zarina Rahman  Khan 00021225552,1992,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
