Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
1295.i.4.,   1295 I      4 ,2,Stichtigh ABC tot nut den Jeuchd ghess door N. Boddink.,"BODDINK, Niklaas.",1639,0,,EAR,Probably out of Copyright,,,14P24545P,,3
1193.k.12.,   1193 K     12 ,2,[The Present State of the United Provinces of the Low-Count,"A., W., Fellow of the Royal Society.",1671,1671,,EAR,Probably out of Copyright,,,09W08942P,Partial,3
1193.k.12.,   1193 K     12 ,2,[The Present State of the United Provinces of the Low-Count,"A., W., Fellow of the Royal Society.",1671,1671,,EAR,Probably out of Copyright,,,09W08942P,Full,3
469.g.6.,    469 G      6 ,2,"The Bible In Englyshe of The Largest and greatest volume, t",,1566,1566,,EAR,Probably out of Copyright,,,10W16143P,Partial,3
1484.m.38.,   1484 M     38 ,2,Memoirs for a Natural History of Animals. Containing the an,,1688,1688,,EAR,Probably out of Copyright,,,12W55284P,Partial,3
1193.k.12.,   1193 K     12 ,2,[The Present State of the United Provinces of the Low-Count,"A., W., Fellow of the Royal Society.",1671,1671,,EAR,Probably out of Copyright,,,09W10098P,Partial,3
1193.k.12.,   1193 K     12 ,2,[The Present State of the United Provinces of the Low-Count,"A., W., Fellow of the Royal Society.",1671,1671,,EAR,Probably out of Copyright,,,09W10098P,Full,3
P.P.6202.,PP   6202 ,2,Blackwood's Edinburgh magazine.,,1817,0,100,BSS,Probably out of Copyright,,,,Partial,3
Maps C.22.d.18.,MAPSC     22 D     18 ,2,"The English Pilot. The Fourth Book, describing The Sea-C...",,1689,0,,RM2,Probably out of Copyright,,,5W133993P,Partial,3
Maps C.11.a.1.,MAPSC     11 A      1 ,2,"[Eighteen segments, etc. of""Globum ... terrae.""24 inches...",,1647,0,,RM2,Probably out of Copyright,,,,Full,3
C.194.a.231,C    194 A    231 ,2,Mr & Mrs John Brown's visit to London to see the Grand Expo,"Onwhyn, Thomas, ca. 1820-1886",1851,1851,,RR2,Probably out of Copyright,,,09W09348P,Partial,3
C.194.a.231,C    194 A    231 ,2,Mr & Mrs John Brown's visit to London to see the Grand Expo,"Onwhyn, Thomas, ca. 1820-1886",1851,1851,,RR2,Probably out of Copyright,,,09W09348P,Full,3
1600/843.,   1600 /    843 ,2,"Le Conservateur. Journal politique, philosophique et litte",,1797,1797,,EAR,Probably out of Copyright,,,07W12636P,,3
718.g.6.,    718 G      6 ,2,"Monas hieroglyphica Ioannis Dee, Londinensis, ad Maximilian","Dee, John, 1527-1608.",1564,1564,,EAR,Probably out of Copyright,,,09M05642P,Partial,3
C.194.a.231,C    194 A    231 ,2,Mr & Mrs John Brown's visit to London to see the Grand Expo,"Onwhyn, Thomas, ca. 1820-1886",1851,1851,,RR2,Probably out of Copyright,,,09W12389P,Full,3
1600/945.,   1600 /    945 ,2,"Queen Square, Westminster. A catalogue of the splendid c...","HOLLINGWORTH, Philip,",1828,0,,EAR,Probably out of Copyright,,,6W181779P,,3
Mic.A.786-792.,MICA    786 -    792 ,3,"Course of the exchange,",,1697,1697,,EAR,Probably out of Copyright,,,10W19955P,Full,3
717.m.3.,    717 M      3 ,3,J. Wolfii Lectionum Memorabilium et reconditarum Centenarii,"WOLFIUS, Joannes, Jurist.",1600,1600,2,EAR,Probably out of Copyright,,,09W083653P,Partial,3
15117.a.10.,  15117 A     10 ,2,Xinyue quanshu.,,1873,0,,EAR,Probably out of Copyright,,,6W182988P,Full,3
809.m.16.,    809 M     16 ,3,"Costumes et usages des peuples de la Gre_ce moderne, grave","STACKELBERG, Otto Magnus von, Baron.",1825,1825,,EAR,Probably out of Copyright,,,11P25858P,Unknown,3
1484.m.38.,   1484 M     38 ,2,Memoirs for a Natural History of Animals. Containing the an,,1688,1688,,EAR,Probably out of Copyright,,,12W55284P,Unknown,3
809.m.16.,    809 M     16 ,3,"Costumes et usages des peuples de la Gre_ce moderne, grave","STACKELBERG, Otto Magnus von, Baron.",1825,1825,,EAR,Probably out of Copyright,,,12W51838P,Unknown,3
15117.a.10.,  15117 A     10 ,2,Xinyue quanshu.,,1873,0,,EAR,Probably out of Copyright,,,,Full,3
809.m.16.,    809 M     16 ,3,"Costumes et usages des peuples de la Gre_ce moderne, grave","STACKELBERG, Otto Magnus von, Baron.",1825,1825,,EAR,Probably out of Copyright,,,12W55104P,Unknown,3
1600/945.,   1600 /    945 ,2,"Queen Square, Westminster. A catalogue of the splendid c...","HOLLINGWORTH, Philip,",1828,0,,EAR,Probably out of Copyright,,,6W170184P,,3
P.P.6202.,PP   6202 ,2,Blackwood's Edinburgh magazine.,,1817,0,100,BSS,Probably out of Copyright,,,,Unknown,3
1607/3485.,   1607 /   3485 ,2,Apophthegmatum ex optimis vtriusque linguæ scriptoribus ...,"LYCOSTHENES, Conradus.",1579,0,,EAR,Probably out of Copyright,,,15M02671P,,3
C.194.a.1128,C    194 A   1128 ,3,"A continuation of the comic adventures, of Old Mother Hubba","Martin, Sarah Catherine, 1768-1826",1806,1806,,RR2,Probably out of Copyright,,,,Unknown,3
74/1881.c.3.,     74 /   1881 C      3 ,2,"A sixth (eighth, tenth, thirteenth) Black List of the names",Societies for the Reformation of Manners (LONDON),1700,1700,,EAR,Probably out of Copyright,,,11W28603P,Partial,3
S.C.Puttick & Simpson.,SCPUTTICK & SIMPSON,2,"[Sale catalogues, from July 1846.]",,1846,1887,,EAR,Probably out of Copyright,,,08W04458P,Unknown,3
S.C.Puttick & Simpson.,SCPUTTICK & SIMPSON,2,"[Sale catalogues, from July 1846.]",,1846,1887,,EAR,Probably out of Copyright,,,08W04458P,Partial,3
S.C.Puttick & Simpson.,SCPUTTICK & SIMPSON,2,"[Sale catalogues, from July 1846.]",,1846,1887,,EAR,Probably out of Copyright,,,08W04458P,Full,3
Maps C.22.d.18.,MAPSC     22 D     18 ,2,"The English Pilot. The Fourth Book, describing The Sea-C...",,1689,0,,RM2,Probably out of Copyright,,,,Partial,3
716.g.33.(1.),    716 G     33 (      1 ),2,"Tuba Stentoro-phonica. An instrument of excellent use, as w","MORLAND, Samuel, Sir, Bart.",1671,1671,,EAR,Probably out of Copyright,,,09W10860P,Partial,3
716.g.33.(1.),    716 G     33 (      1 ),2,"Tuba Stentoro-phonica. An instrument of excellent use, as w","MORLAND, Samuel, Sir, Bart.",1671,1671,,EAR,Probably out of Copyright,,,11W45492P,Partial,3
SC PHILLIPS,SCPHILLIPS,2,CHINESE LOOTED OBJECTS,SALES CATALOGE,1861,1861,,EAR,Probably out of Copyright,,,09W12436P,Full,3
74/1881.c.3.,     74 /   1881 C      3 ,2,"A sixth (eighth, tenth, thirteenth) Black List of the names",Societies for the Reformation of Manners (LONDON),1700,1700,,EAR,Probably out of Copyright,,,10W25393P,Partial,3
Maps C.26.c.1.,MAPSC     26 C      1 ,2,Britannia Illustrata or views of several of the Queen's ...,,1707,0,,RM2,Probably out of Copyright,,,4W118871P,Partial,3
Maps C.26.c.1.,MAPSC     26 C      1 ,2,Britannia Illustrata or views of several of the Queen's ...,,1707,0,,RM2,Probably out of Copyright,,,4W118871P,Unknown,3
