Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
OMS/or. 13292,OMS/OR  13292 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 13274,OMS/OR  13274 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or.13192,OMS/OR  13192 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 12689,OMS/OR  12689 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/or. 12674,OMS/OR  12674 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/or. 12021,OMS/OR  12021 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 813,OMS/OR    813 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 814,OMS/OR    814 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/or. 12019,OMS/OR  12019 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or.12009 ,OMS/OR  12009 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/or. 11760,OMS/OR  11760 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/or. 11759,OMS/OR  11759 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/or. 11757,OMS/OR  11757 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/or. 11658,OMS/OR  11658 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/or. 11273,OMS/OR  11273 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 795,OMS/OR    795 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 815,OMS/OR    815 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 793,OMS/OR    793 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 584,OMS/OR    584 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 578,OMS/OR    578 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/OR.698 ,OMS/OR    698 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 597,OMS/OR    597 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 614,OMS/OR    614 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 638,OMS/OR    638 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 645,OMS/OR    645 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 659,OMS/OR    659 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
